code;mouvt;mois;prod;poids;mod;immat;droit;cfakg;ori;lon_ori;lat_ori;dis_km_ori;dis_mn_ori;des;lon_des;lat_des;dis_km_des;dis_mn_des
101;entrée;2014-07-01;arachide decortiquée;420;pick-up;iv;500;2;dabakala;-4,4272;8,3624;132;138;mgb;-5,0248;7,6971;0;0
102;entrée;2014-07-01;bété bété;14720;camion;iv;1000;2;tiéningboué;-5,7241;8,177;124;113;mgb;-5,0248;7,6971;0;0
103;entrée;2014-07-01;bété bété;6840;pick-up;iv;500;2;bouandougou;-5,6679;8,2146;116;106;mgb;-5,0248;7,6971;0;0
104;entrée;2014-07-01;koudjan;12862;camion;iv;1000;2;satama;-4,3595;7,9043;127;86;mgb;-5,0248;7,6971;0;0
105;entrée;2014-07-01;bété bété;4990;pick-up;iv;500;2;béoumi;-5,5791;7,6714;60;64;mgb;-5,0248;7,6971;0;0
106;entrée;2014-07-01;wakrou;5270;pick-up;iv;500;2;tiébissou;-5,2243;7,1593;48;66;mgb;-5,0248;7,6971;0;0
107;entrée;2014-07-01;koudjan;13180;camion;iv;1000;2;bouandougou;-5,6679;8,2146;116;106;mgb;-5,0248;7,6971;0;0
108;entrée;2014-07-01;oignons;22740;gros camion;iv;2000;2;niger;2,1323;13,5119;987;1324;mgb;-5,0248;7,6971;0;0
109;entrée;2014-07-01;oignons;56800;gros camion;bf;2000;0;burkina;-4,2976;11,1675;344;456;mgb;-5,0248;7,6971;0;0
110;entrée;2014-07-01;koudjan;1460;pick-up;iv;500;2;satama;-4,3595;7,9043;127;86;mgb;-5,0248;7,6971;0;0
111;entrée;2014-07-01;kpassadjo;16340;camion;iv;1000;2;tiébissou;-5,2243;7,1593;48;66;mgb;-5,0248;7,6971;0;0
112;sortie;2014-07-01;divers;31500;gros camion;iv;2000;0;mgb;-5,0248;7,6971;0;0;san pédro;-6,6206;4,7419;412;473
113;entrée;2014-07-01;arachide decortiquée;8720;pick-up;iv;500;2;katiola;-5,1018;8,1401;38;51;mgb;-5,0248;7,6971;0;0
114;entrée;2014-07-01;koudjan;10600;camion;iv;1000;2;didiévi;-4,893;7,1256;87;75;mgb;-5,0248;7,6971;0;0
115;entrée;2014-07-01;kpassadjo;1980;pick-up;iv;500;2;kouakro;-2,9074;5,4444;402;500;mgb;-5,0248;7,6971;0;0
116;entrée;2014-07-01;koudjan;5880;camion;iv;1000;2;botro;-5,3063;7,8447;48;44;mgb;-5,0248;7,6971;0;0
117;entrée;2014-07-01;bété bété;5300;pick-up;iv;500;2;bouandougou;-5,6679;8,2146;116;106;mgb;-5,0248;7,6971;0;0
118;entrée;2014-07-01;koudjan;3140;pick-up;iv;500;2;m'bahiakro;-4,3378;7,4537;82;87;mgb;-5,0248;7,6971;0;0
119;entrée;2014-07-01;arachide decortiquée;580;voiture de transport;iv;0;2;bouaké;-5,028;7,6845;3;2;mgb;-5,0248;7,6971;0;0
120;sortie;2014-07-01;banane plantain;39340;gros camion;iv;2000;0;bonon;-6,05;6,9333;150;197;mali;-7,473;11,4071;477;669
121;sortie;2014-07-01;attiéké sec;55200;gros camion;iv;2000;0;daloa;-6,4478;6,8892;187;242;mali;-7,473;11,4071;477;669
122;sortie;2014-07-01;banane plantain;0;gros camion;md;2000;0;bonon;-6,05;6,9333;150;197;mali;-7,473;11,4071;477;669
123;sortie;2014-07-01;mais grain;15060;gros camion;iv;2000;2;bouandougou;-5,6679;8,2146;116;106;agnibilékro;-3,2008;7,1264;273;261
124;sortie;2014-07-01;banane plantain;27100;gros camion;md;2000;0;daloa;-6,4478;6,8892;187;242;mali;-7,473;11,4071;477;669
125;sortie;2014-07-01;banane plantain;39340;gros camion;iv;2000;0;bonon;-6,05;6,9333;150;197;mali;-7,473;11,4071;477;669
126;entrée;2014-07-01;koudjan;8720;pick-up;iv;500;2;yamoussoukro;-5,2778;6,8194;77;109;mgb;-5,0248;7,6971;0;0
127;entrée;2014-07-01;koudjan;6180;pick-up;iv;500;2;brobo;-4,8267;7,6407;25;25;mgb;-5,0248;7,6971;0;0
128;entrée;2014-07-01;koudjan;12640;camion;iv;1000;2;tiébissou;-5,2243;7,1593;48;66;mgb;-5,0248;7,6971;0;0
129;entrée;2014-07-01;arachide decortiquée;3760;pick-up;iv;500;2;kouassikro;-4,7085;7,0329;124;100;mgb;-5,0248;7,6971;0;0
130;entrée;2014-07-01;arachide decortiquée;2660;voiture de transport;iv;0;2;kouassikro;-4,7085;7,0329;124;100;mgb;-5,0248;7,6971;0;0
131;entrée;2014-07-01;kponan;2520;pick-up;iv;500;2;kouakro;-2,9074;5,4444;402;500;mgb;-5,0248;7,6971;0;0
132;entrée;2014-07-01;oignons;33180;gros camion;bf;2000;0;burkina;-4,2976;11,1675;344;456;mgb;-5,0248;7,6971;0;0
133;entrée;2014-07-01;koudjan;4120;pick-up;iv;500;2;m'bahiakro;-4,3378;7,4537;82;87;mgb;-5,0248;7,6971;0;0
134;entrée;2014-07-01;wakrou;7120;camion;iv;1000;2;m'bahiakro;-4,3378;7,4537;82;87;mgb;-5,0248;7,6971;0;0
135;entrée;2014-07-01;bété bété;10720;camion;iv;1000;2;bouandougou;-5,6679;8,2146;116;106;mgb;-5,0248;7,6971;0;0
136;entrée;2014-07-01;assawa;5560;pick-up;iv;500;2;kouassikro;-4,7085;7,0329;124;100;mgb;-5,0248;7,6971;0;0
137;entrée;2014-07-01;koudjan;5440;pick-up;iv;500;2;didiévi;-4,893;7,1256;87;75;mgb;-5,0248;7,6971;0;0
138;entrée;2014-07-01;koudjan;6920;pick-up;iv;500;2;tiéningboué;-5,7241;8,177;124;113;mgb;-5,0248;7,6971;0;0
139;entrée;2014-07-01;kponan;1000;pick-up;iv;500;2;bouaké;-5,028;7,6845;3;2;mgb;-5,0248;7,6971;0;0
140;sortie;2014-07-01;divers;19140;gros camion;iv;2000;2;mgb;-5,0248;7,6971;0;0;san pédro;-6,6206;4,7419;412;473
141;sortie;2014-07-01;kpassadjo;0;gros camion;md;2000;0;mgb;-5,0248;7,6971;0;0;mali;-7,473;11,4071;477;669
142;entrée;2014-07-01;mais grain;0;remorque;iv;5000;0;ouangolo;-5,157;9,9687;193;271;toumodi;-5,0179;6,5556;111;152
143;entrée;2014-07-01;kpassadjo;6420;camion;iv;1000;2;kouassikro;-4,7085;7,0329;124;100;mgb;-5,0248;7,6971;0;0
144;entrée;2014-07-01;kpassadjo;6080;pick-up;iv;500;2;satama;-4,3595;7,9043;127;86;mgb;-5,0248;7,6971;0;0
145;entrée;2014-07-01;riz blanchi importé;26180;gros camion;iv;2000;2;mankono;-6,1883;8,0556;179;156;mgb;-5,0248;7,6971;0;0
146;entrée;2014-07-01;arachide decortiquée;1620;pick-up;iv;500;2;dabakala;-4,4272;8,3624;132;138;mgb;-5,0248;7,6971;0;0
147;entrée;2014-07-01;kponan;2440;camion;iv;1000;2;kouassikro;-4,7085;7,0329;124;100;mgb;-5,0248;7,6971;0;0
148;entrée;2014-07-01;arachide decortiquée;8720;pick-up;iv;500;2;katiola;-5,1018;8,1401;38;51;mgb;-5,0248;7,6971;0;0
