VALUE,LCZ1,latitude,longitude
"24.45000000,""6"",6.74,3.32"
"24.89000000,""6"",6.74,3.27"
"24.95000000,""3"",6.74,3.26"
"24.81000000,""6"",6.74,3.29"
"24.87000000,""6"",6.74,3.28"
"22.57000000,""9"",6.74,3.38"
"22.35000000,""11"",6.74,3.37"
"24.01000000,""6"",6.74,3.40"
"23.39000000,""6"",6.74,3.39"
"23.65000000,""9"",6.74,3.34"
"24.25000000,""9"",6.74,3.33"
"22.61000000,""11"",6.74,3.36"
"23.29000000,""13"",6.74,3.35"
"23.47000000,""9"",6.74,3.16"
"23.27000000,""14"",6.74,3.15"
"24.29000000,""6"",6.74,3.18"
"24.21000000,""6"",6.74,3.17"
"22.67000000,""11"",6.74,3.13"
"22.39000000,""12"",6.74,3.12"
"23.07000000,""12"",6.74,3.15"
"22.91000000,""12"",6.74,3.14"
"24.83000000,""6"",6.74,3.24"
"24.77000000,""6"",6.74,3.23"
"25.13000000,""6"",6.74,3.25"
"24.83000000,""6"",6.74,3.24"
"24.43000000,""6"",6.74,3.20"
"24.35000000,""6"",6.74,3.19"
"24.25000000,""6"",6.74,3.22"
"24.35000000,""6"",6.74,3.21"
"22.69000000,""9"",6.74,3.02"
"22.57000000,""12"",6.74,3.01"
"22.27000000,""12"",6.74,3.04"
"22.43000000,""12"",6.74,3.03"
"22.91000000,""12"",6.74,2.98"
"23.01000000,""12"",6.74,2.97"
"22.61000000,""9"",6.74,3.00"
"22.65000000,""14"",6.74,2.99"
"22.23000000,""12"",6.74,3.09"
"22.23000000,""12"",6.74,3.08"
"22.31000000,""12"",6.74,3.11"
"22.29000000,""12"",6.74,3.10"
"22.31000000,""12"",6.74,3.06"
"22.41000000,""12"",6.74,3.05"
"22.37000000,""12"",6.74,3.07"
"22.29000000,""12"",6.74,3.06"
"22.67000000,""14"",6.74,2.89"
"22.39000000,""12"",6.74,2.95"
"22.63000000,""12"",6.74,2.94"
"22.75000000,""12"",6.74,2.97"
"22.63000000,""12"",6.74,2.96"
"22.23000000,""9"",6.74,2.91"
"22.43000000,""12"",6.74,2.90"
"22.77000000,""12"",6.74,2.93"
"22.79000000,""12"",6.74,2.92"
"23.81000000,""11"",6.44,3.73"
"23.91000000,""11"",6.44,3.63"
"21.93000000,""11"",6.82,3.58"
"23.95000000,""11"",6.44,3.62"
"21.73000000,""11"",6.82,3.57"
"24.07000000,""9"",6.44,3.65"
"21.99000000,""11"",6.82,3.60"
"23.81000000,""11"",6.44,3.64"
"21.93000000,""11"",6.82,3.59"
"23.97000000,""9"",6.44,3.60"
"22.11000000,""11"",6.82,3.54"
"24.05000000,""11"",6.44,3.59"
"22.47000000,""11"",6.82,3.53"
"24.11000000,""11"",6.44,3.61"
"21.55000000,""11"",6.82,3.56"
"24.11000000,""9"",6.44,3.60"
"21.89000000,""11"",6.82,3.55"
"23.59000000,""11"",6.44,3.70"
"23.39000000,""6"",6.82,3.65"
"23.43000000,""11"",6.44,3.69"
"23.89000000,""6"",6.82,3.64"
"23.41000000,""14"",6.44,3.72"
"22.09000000,""9"",6.82,3.67"
"23.99000000,""9"",6.44,3.71"
"22.81000000,""6"",6.82,3.66"
"23.29000000,""14"",6.44,3.67"
"22.27000000,""9"",6.82,3.61"
"24.01000000,""9"",6.44,3.66"
"21.83000000,""9"",6.82,3.60"
"23.43000000,""11"",6.44,3.69"
"23.85000000,""6"",6.82,3.63"
"23.37000000,""9"",6.44,3.68"
"22.73000000,""6"",6.82,3.62"
"24.13000000,""8"",6.44,3.49"
"24.23000000,""6"",6.82,3.43"
"24.03000000,""3"",6.44,3.48"
"24.23000000,""6"",6.82,3.42"
"24.19000000,""3"",6.44,3.51"
"24.03000000,""6"",6.82,3.45"
"24.21000000,""8"",6.44,3.50"
"24.21000000,""6"",6.82,3.44"
"24.37000000,""8"",6.44,3.45"
"23.09000000,""9"",6.82,3.40"
"24.91000000,""8"",6.44,3.44"
"22.51000000,""9"",6.82,3.39"
"24.03000000,""3"",6.44,3.47"
"23.77000000,""6"",6.82,3.42"
"24.13000000,""3"",6.44,3.46"
"23.45000000,""9"",6.82,3.41"
"23.87000000,""3"",6.44,3.56"
"22.05000000,""9"",6.82,3.51"
"23.79000000,""14"",6.44,3.55"
"22.09000000,""9"",6.82,3.50"
"23.83000000,""11"",6.44,3.58"
"22.31000000,""11"",6.82,3.52"
"23.81000000,""17"",6.44,3.57"
"22.21000000,""9"",6.82,3.51"
"24.19000000,""3"",6.44,3.52"
"22.63000000,""6"",6.82,3.47"
"24.21000000,""3"",6.44,3.51"
"23.23000000,""6"",6.82,3.46"
"23.83000000,""6"",6.44,3.54"
"22.27000000,""9"",6.82,3.49"
"24.21000000,""16"",6.44,3.53"
"22.39000000,""6"",6.82,3.48"
"24.57000000,""17"",6.44,3.34"
"23.05000000,""11"",6.82,3.29"
"24.87000000,""8"",6.44,3.33"
"23.03000000,""11"",6.82,3.28"
"24.51000000,""17"",6.44,3.36"
"22.43000000,""11"",6.82,3.31"
"24.93000000,""10"",6.44,3.35"
"22.43000000,""11"",6.82,3.30"
"24.45000000,""8"",6.44,3.31"
"23.77000000,""9"",6.82,3.25"
"24.31000000,""14"",6.44,3.30"
"24.21000000,""9"",6.82,3.24"
"25.15000000,""8"",6.44,3.33"
"23.09000000,""9"",6.82,3.27"
"25.09000000,""8"",6.44,3.32"
"23.85000000,""9"",6.82,3.26"
"24.81000000,""8"",6.44,3.42"
"21.81000000,""11"",6.82,3.36"
"24.79000000,""8"",6.44,3.41"
"21.43000000,""13"",6.82,3.35"
"25.05000000,""10"",6.44,3.43"
"22.03000000,""14"",6.82,3.38"
"25.13000000,""8"",6.44,3.42"
"22.27000000,""12"",6.82,3.37"
"24.23000000,""17"",6.44,3.38"
"22.31000000,""11"",6.82,3.33"
"24.49000000,""8"",6.44,3.37"
"22.25000000,""11"",6.82,3.32"
"nan,""17"",6.44,3.40"
"21.71000000,""12"",6.82,3.34"
"24.17000000,""10"",6.44,3.39"
"22.19000000,""12"",6.82,3.33"
"23.51000000,""17"",6.44,3.20"
"23.05000000,""12"",6.82,3.15"
"23.45000000,""11"",6.44,3.19"
"23.11000000,""12"",6.82,3.14"
"24.21000000,""17"",6.44,3.22"
"23.39000000,""9"",6.82,3.16"
"23.77000000,""14"",6.44,3.21"
"23.01000000,""9"",6.82,3.15"
"23.53000000,""17"",6.44,3.16"
"23.41000000,""12"",6.82,3.11"
"23.51000000,""11"",6.44,3.15"
"22.47000000,""12"",6.82,3.10"
"23.51000000,""14"",6.44,3.18"
"23.33000000,""14"",6.82,3.13"
"23.67000000,""11"",6.44,3.17"
"23.41000000,""14"",6.82,3.12"
"24.85000000,""3"",6.44,3.27"
"24.37000000,""6"",6.82,3.22"
"24.65000000,""6"",6.44,3.26"
"24.49000000,""6"",6.82,3.21"
"24.29000000,""6"",6.44,3.29"
"24.31000000,""9"",6.82,3.24"
"24.51000000,""6"",6.44,3.28"
"24.13000000,""6"",6.82,3.23"
"23.95000000,""17"",6.44,3.24"
"25.01000000,""6"",6.82,3.18"
"24.19000000,""14"",6.44,3.23"
"23.73000000,""9"",6.82,3.17"
"24.35000000,""8"",6.44,3.25"
"24.89000000,""3"",6.82,3.20"
